Unnamed: 0,image_filename,image_caption,image_class
34,image_00035.jpg,a beautiful beach in Cyprus,Coast
35,image_00036.jpg,a beach in Portugal,Coast
36,image_00037.jpg,a white couch and a beautiful blue ocean with a boat and a tropical island in the background.,Coast
37,image_00038.jpg,a sunset over the ocean,Coast
38,image_00039.jpg,a palm tree on a beach,Coast
39,image_00040.jpg,"the Seychelles, a popular destination for British expats",Coast
40,image_00041.jpg,a happy couple having fun on the beach,Coast
41,image_00042.jpg,a beach in the Maldives,Coast
42,image_00043.jpg,a beautiful sunset over the ocean,Coast
43,image_00044.jpg,the ocean and sand at sunset,Coast
44,image_00045.jpg,a palm tree and the beach in the background,Coast
45,image_00046.jpg,a boat and a castle on the water in Turkey,Coast
46,image_00047.jpg,a tree and a boat on the water,Coast
47,image_00048.jpg,a beach and sea in Cornwall,Coast
48,image_00049.jpg,palm trees and a beautiful sunset,Coast
49,image_00050.jpg,a woman walking on the beach in Florida.,Coast
50,image_00051.jpg,a beach and ocean from above,Coast
51,image_00052.jpg,a bicycle and palm trees on a beach in Mexico,Coast
52,image_00053.jpg,a beach in Costa Rica with a palm tree and a boat in the water.,Coast
53,image_00054.jpg,a beach resort in the Maldives,Coast
54,image_00055.jpg,the clear waters of the beach with a few people enjoying the beach and the blue sky in the background,Coast
55,image_00056.jpg,the beach in Benidorm,Coast
56,image_00057.jpg,a beach with palm trees and a red sign that says Gluten-Free Maui,Coast
57,image_00058.jpg,a palm tree and two chairs on the beach,Coast
58,image_00059.jpg,the crystal clear waters and white sand of a beach in the Seychelles,Coast
59,image_00060.jpg,a beach in Jamaica,Coast
60,image_00061.jpg,a beautiful beach in the Maldives,Coast
61,image_00062.jpg,"sun loungers and umbrellas on a beach in Budva, Montenegro",Coast
62,image_00063.jpg,longtail boats on a beach in Thailand,Coast
63,image_00064.jpg,a lighthouse and trees on a beach in Sri Lanka,Coast
64,image_00065.jpg,a sunset over the ocean,Coast
65,image_00066.jpg,a beach in Ibiza,Coast
66,image_00067.jpg,a swing on a beach with the text 'Crusoe Cabins',Coast
67,image_00068.jpg,a mandap with flowers and chairs set up for a wedding,Coast
68,image_00069.jpg,a couple holding hands on the beach,Coast
69,image_00070.jpg,"a boardwalk and palm trees with the words ""Welcome to the best beach in the world""",Coast
70,image_00071.jpg,the beautiful beach in Formentera,Coast
71,image_00072.jpg,"a living room with a large white couch, a coffee table, and a tree in the background.",Coast
72,image_00073.jpg,a beautiful beach in Greece,Coast
73,image_00074.jpg,colourful beach huts on a sunny day,Coast
74,image_00075.jpg,a beautiful beach house in California,Coast
75,image_00076.jpg,a sunset over a body of water,Coast
76,image_00077.jpg,the beach at the resort,Coast
77,image_00078.jpg,the crystal clear waters of the Mediterranean Sea,Coast
78,image_00079.jpg,a beautiful beach in the Whitsundays,Coast
79,image_00080.jpg,a beautiful beach at sunset,Coast
80,image_00081.jpg,a luxury beach house in the Seychelles,Coast
81,image_00082.jpg,a cocktail on the beach,Coast
82,image_00083.jpg,two beach chairs and a thatched umbrella on a beach in Greece,Coast
83,image_00084.jpg,a palm tree and the ocean at sunset,Coast
84,image_00085.jpg,a beach in Portugal,Coast
85,image_00086.jpg,a beautiful beach in the Caribbean,Coast
86,image_00087.jpg,"the beach in Galle, Sri Lanka, where the author was attacked.",Coast
87,image_00088.jpg,a beautiful beach in Barbados,Coast
88,image_00089.jpg,a young man lying on his back in the sand,Coast
89,image_00090.jpg,a woman with long hair blowing in the wind,Coast
90,image_00091.jpg,a woman standing in the water in front of the Palawan Beach Resort.,Coast
91,image_00092.jpg,"a boat and the beautiful limestone cliffs in El Nido, Philippines",Coast
92,image_00093.jpg,the beach in the Algarve,Coast
93,image_00094.jpg,a tree and the beach at the Whitsundays,Coast
94,image_00095.jpg,a glass ball on the beach and the words 5,Coast
95,image_00096.jpg,the beautiful blue waters of the Greek island of Milos,Coast
96,image_00097.jpg,a beach in Ibiza,Coast
97,image_00098.jpg,a cliff and the ocean,Coast
98,image_00099.jpg,a beach in Cape Town with mountains in the background,Coast
99,image_00100.jpg,a beach with a palm tree and two chairs,Coast
100,image_00101.jpg,a palm tree and the ocean in the background,Coast
101,image_00102.jpg,"boats in the water in Cadaqués, Spain",Coast
102,image_00103.jpg,a person standing on a beach,Coast
103,image_00104.jpg,a beach and ocean in Florida,Coast
104,image_00105.jpg,a small town on a lake,Coast
105,image_00106.jpg,a tree and the ocean,Coast
106,image_00107.jpg,a wedding arch on the beach,Coast
107,image_00108.jpg,a bedroom with a canopy bed and a view of the ocean,Coast
108,image_00109.jpg,a boat and people on a beach at sunset,Coast
109,image_00110.jpg,"a boat and a person paddleboarding in the water in Capri, Italy.",Coast
110,image_00111.jpg,a house on the beach,Coast
111,image_00112.jpg,a beautiful beach and the ocean at sunset,Coast
112,image_00113.jpg,a beautiful beach in the Maldives,Coast
113,image_00114.jpg,a small island in the Philippines,Coast
114,image_00115.jpg,"a beach with a white sand, palm trees, and two lounge chairs",Coast
115,image_00116.jpg,a beach with palm trees,Coast
116,image_00117.jpg,the beautiful beaches in Portugal,Coast
117,image_00118.jpg,a beautiful beach and ocean,Coast
118,image_00119.jpg,two people standing by a pool with a palm tree and a city in the background. The text reads California Nights,Coast
119,image_00120.jpg,a beautiful beach and blue sky,Coast
120,image_00121.jpg,a bungalow and a thatched hut on the beach in Siargao,Coast
121,image_00122.jpg,boats on the water at sunset,Coast
122,image_00123.jpg,a beach in Malta,Coast
123,image_00124.jpg,the beach and palm trees at the resort,Coast
124,image_00125.jpg,a beach in Hawaii,Coast
125,image_00126.jpg,a boat and a palm tree on a beach at sunset,Coast
126,image_00127.jpg,a beautiful beach and blue sky,Coast
127,image_00128.jpg,a beach and sea in Cornwall,Coast
128,image_00129.jpg,a beautiful beach in the tropics,Coast
129,image_00130.jpg,sun loungers and cabanas on a beach in Egypt,Coast
130,image_00131.jpg,a beach with palm trees,Coast
131,image_00132.jpg,two girls sitting on the beach,Coast
132,image_00133.jpg,a palm tree and the ocean,Coast
133,image_00134.jpg,"the beautiful beach in Lagos, Portugal",Coast
134,image_00135.jpg,a beautiful beach in the Bahamas,Coast
135,image_00136.jpg,a beach in Sydney,Coast
136,image_00137.jpg,a beach in Cancun,Coast
137,image_00138.jpg,a wedding arch on the beach,Coast
138,image_00139.jpg,shells on a sand dune,Coast
139,image_00140.jpg,a woman riding a bicycle on a road in Sri Lanka.,Coast
140,image_00141.jpg,a boat and a ship on the beach in Greece,Coast
141,image_00142.jpg,a person walking along a beach in Cornwall,Coast
142,image_00143.jpg,"the moon rising over the ocean, with a dark blue sky and a sandy beach in the foreground.",Coast
143,image_00144.jpg,a beach in Crete,Coast
144,image_00145.jpg,a bride standing in the ocean,Coast
145,image_00146.jpg,a wooden pier leading to a luxury resort in the Maldives,Coast
146,image_00147.jpg,"the ocean and cliffs in Big Sur, California, where a new study suggests that the area may be experiencing a mass die-off of seabirds.",Coast
147,image_00148.jpg,a beach in Wales,Coast
148,image_00149.jpg,a beautiful blue sky and a white sand beach,Coast
149,image_00150.jpg,a beautiful beach in Menorca,Coast
150,image_00151.jpg,a beautiful sunset over the ocean,Coast
151,image_00152.jpg,a bay in the mountains,Coast
152,image_00153.jpg,"a beautiful sunset over the ocean, with rocks and palm trees in the foreground",Coast
153,image_00154.jpg,a bride and groom on the beach,Coast
154,image_00155.jpg,the beach in Montenegro,Coast
155,image_00156.jpg,rocks in the ocean with a pink and purple sky,Coast
156,image_00157.jpg,a beach in the Caribbean,Coast
157,image_00158.jpg,a white wooden deck and palm trees,Coast
158,image_00159.jpg,a woman wearing a wedding dress,Coast
159,image_00160.jpg,a pier leading to a beach,Coast
160,image_00161.jpg,a palm tree and the ocean with a road in the foreground,Coast
161,image_00162.jpg,a woman walking on the beach,Coast
162,image_00163.jpg,a beach and ocean,Coast
163,image_00164.jpg,the ocean with a blue sky and white clouds,Coast
164,image_00165.jpg,a woman in a straw hat standing in the shallows of a beach with a cloudy sky and rocks in the background.,Coast
165,image_00166.jpg,a beautiful beach with the words Beautiful Beach,Coast
166,image_00167.jpg,a beautiful beach in the Dominican Republic,Coast
167,image_00168.jpg,a beach in Jamaica,Coast
168,image_00169.jpg,a tropical beach with palm trees,Coast
169,image_00170.jpg,a beautiful sunset over the ocean,Coast
170,image_00171.jpg,a beautiful beach and the ocean,Coast
171,image_00172.jpg,the ocean and cliffs in California,Coast
172,image_00173.jpg,a beach with sunbeds and umbrellas,Coast
173,image_00174.jpg,palm trees and the ocean at sunset,Coast
174,image_00175.jpg,a couple laying on the beach,Coast
175,image_00176.jpg,the rocky shore at the beach with green hills in the background.,Coast
176,image_00177.jpg,a beach and the sea,Coast
177,image_00178.jpg,a beach umbrella and two wooden lounge chairs on a beach,Coast
178,image_00179.jpg,a beautiful sunset over the ocean,Coast
179,image_00180.jpg,a woman smiling on the beach,Coast
180,image_00181.jpg,a person standing on the beach looking out at the ocean.,Coast
181,image_00182.jpg,a palm tree and a road in front of the ocean in the Seychelles,Coast
182,image_00183.jpg,a palm tree and sand on a beach,Coast
183,image_00184.jpg,a beach in Jamaica,Coast
184,image_00185.jpg,footprints in the sand,Coast
185,image_00186.jpg,a beach in the Seychelles,Coast
186,image_00187.jpg,a beautiful resort in Bora Bora,Coast
187,image_00188.jpg,a beautiful purple and pink sunset over the ocean,Coast
188,image_00189.jpg,the blue sea and the rocky coast in the south of France,Coast
189,image_00190.jpg,a beautiful beach in California,Coast
190,image_00191.jpg,a beach with palm trees,Coast
191,image_00192.jpg,a beach in Costa Rica with palm trees and the ocean in the background,Coast
192,image_00193.jpg,a beach and palm trees,Coast
193,image_00194.jpg,the ocean and a beach with rocks and a pier in the distance.,Coast
194,image_00195.jpg,a sandy beach and the ocean at sunset,Coast
195,image_00196.jpg,a beach in Costa Rica with a boat and palm trees,Coast
196,image_00197.jpg,a beach and the ocean,Coast
197,image_00198.jpg,a beach and the ocean,Coast
198,image_00199.jpg,a beach with a straw umbrella,Coast
199,image_00200.jpg,a beautiful tropical beach with palm trees,Coast
200,image_00201.jpg,a woman standing on a dock with the sun setting in the background.,Coast
201,image_00202.jpg,palm trees and a beach,Coast
202,image_00203.jpg,a beach in Bermuda,Coast
203,image_00204.jpg,"a boat sailing on the blue sea and white sand beach in Zakynthos, Greece",Coast
204,image_00205.jpg,a cloudy sky over a beach,Coast
205,image_00206.jpg,a lighthouse on a rocky shore,Coast
206,image_00207.jpg,a palm tree on a beach,Coast
207,image_00208.jpg,the ocean and beach in Hawaii,Coast
208,image_00209.jpg,a horse running through water at sunset,Coast
209,image_00210.jpg,a beach umbrella and a starfish on the sand,Coast
210,image_00211.jpg,a beautiful beach in Mallorca,Coast
211,image_00212.jpg,the ocean and beach in the Outer Banks,Coast
212,image_00213.jpg,"a hat, flip flops, and a seashell on the beach",Coast
213,image_00214.jpg,"the beautiful blue ocean and white sand beach in Bali, Indonesia",Coast
214,image_00215.jpg,a sunset over the ocean,Coast
215,image_00216.jpg,a sandy cliff overlooking the ocean,Coast
216,image_00217.jpg,the sea and rocks at the beach,Coast
217,image_00218.jpg,"a sunset over the ocean, with trees and rocks in the foreground",Coast
218,image_00219.jpg,a beach and the sun setting,Coast
219,image_00220.jpg,a beach in Portugal,Coast
220,image_00221.jpg,a starfish on the beach,Coast
221,image_00222.jpg,a beautiful sunset over the ocean,Coast
222,image_00223.jpg,a woman walking on the beach,Coast
223,image_00224.jpg,a man and a woman on the beach with surfboards,Coast
224,image_00225.jpg,a beach with the sun shining and the water sparkling,Coast
225,image_00226.jpg,the ocean and sky,Coast
226,image_00227.jpg,a beach with palm trees,Coast
227,image_00228.jpg,a beautiful sunset over the ocean,Coast
228,image_00229.jpg,seashells and starfish on sand,Coast
229,image_00230.jpg,the ocean and a lush green field,Coast
230,image_00231.jpg,a beautiful sunset over the ocean,Coast
231,image_00232.jpg,a woman laying on the beach with a hat on.,Coast
232,image_00233.jpg,a beach and mountains with clouds and sun shining on the water,Coast
233,image_00234.jpg,a father and daughter walking on the beach.,Coast
234,image_00235.jpg,a stormy sky over a beach,Coast
235,image_00236.jpg,a beautiful beach and blue sky,Coast
236,image_00237.jpg,a woman on the beach,Coast
237,image_00238.jpg,"the beach at Bandon, Oregon with large rocks and a tide pool in the foreground",Coast
238,image_00239.jpg,a white sand beach with palm trees,Coast
239,image_00240.jpg,a boat on the water and rocks in the foreground,Coast
240,image_00241.jpg,the ocean at sunset,Coast
241,image_00242.jpg,a path to the beach with the sun setting in the background,Coast
242,image_00243.jpg,a beautiful sunset over the ocean,Coast
243,image_00244.jpg,the ocean and a beach,Coast
244,image_00245.jpg,the ocean and sand,Coast
245,image_00246.jpg,a beach in the Bahamas,Coast
246,image_00247.jpg,a beach and the sun rising over the ocean,Coast
247,image_00248.jpg,a beach with palm trees and sun loungers,Coast
248,image_00249.jpg,a wave crashing on the shore,Coast
249,image_00250.jpg,a woman smiling on the beach,Coast
250,image_00251.jpg,a flag on a rock and the ocean in the background,Coast
251,image_00252.jpg,a beach in Greece,Coast
252,image_00253.jpg,a beautiful beach in Greece,Coast
253,image_00254.jpg,a sunset over the ocean,Coast
254,image_00255.jpg,a couple sitting in chairs on a beach,Coast
255,image_00256.jpg,a surfer and the sun,Coast
256,image_00257.jpg,a lifeguard tower on a beach,Coast
257,image_00258.jpg,a beautiful beach and the ocean at sunset,Coast
258,image_00259.jpg,a woman walking on the beach,Coast
259,image_00260.jpg,a beach in St Lucia with a sailboat and mountains in the background,Coast
260,image_00261.jpg,rocks and seaweed on a beach,Coast
261,image_00262.jpg,a woman sitting in tall grass,Coast
262,image_00263.jpg,a beach in the Outer Hebrides.,Coast
263,image_00264.jpg,a wave and the sun,Coast
264,image_00265.jpg,a starfish and a shell on the beach,Coast
265,image_00266.jpg,a family walking on the beach.,Coast
266,image_00267.jpg,"a person standing on a beach with their arms outstretched, with a beautiful sunset in the background.",Coast
267,image_00268.jpg,a person standing in a cave looking out at the ocean,Coast
268,image_00269.jpg,the beach at the resort,Coast
269,image_00270.jpg,a beach umbrella and the ocean,Coast
270,image_00271.jpg,a woman in a bikini walking out of the ocean,Coast
271,image_00272.jpg,a beach and sunset,Coast
272,image_00273.jpg,a beautiful pink sunset over the ocean,Coast
273,image_00274.jpg,a woman jumping on the beach,Coast
274,image_00275.jpg,two seagulls on the beach,Coast
275,image_00276.jpg,a child and fish in the water,Coast
276,image_00277.jpg,a sandy path to the ocean,Coast
277,image_00278.jpg,a boat and two men fishing in the ocean.,Coast
278,image_00279.jpg,beach chairs and umbrellas on a beach.,Coast
279,image_00280.jpg,a beautiful sunset over the ocean,Coast
280,image_00281.jpg,the ocean and sand,Coast
281,image_00282.jpg,a family playing on the beach.,Coast
282,image_00283.jpg,a family walking on the beach,Coast
283,image_00284.jpg,a clear blue ocean and blue sky,Coast
284,image_00285.jpg,the ocean and the sky,Coast
285,image_00286.jpg,a seashell on the beach,Coast
286,image_00287.jpg,the beautiful town of Positano,Coast
287,image_00288.jpg,a lighthouse on a rocky island,Coast
288,image_00289.jpg,the beach and ocean in New Zealand,Coast
289,image_00290.jpg,a beautiful beach and the ocean at sunset,Coast
290,image_00291.jpg,the ocean and rocks in the foreground,Coast
291,image_00292.jpg,a cliff falling into the sea,Coast
292,image_00293.jpg,the stunning Dorset coastline,Coast
293,image_00294.jpg,a beach and ocean,Coast
294,image_00295.jpg,a road and the sea in Croatia,Coast
295,image_00296.jpg,"the stunning coastline at Durdle Door in Dorset, with the sea and the arch visible",Coast
296,image_00297.jpg,the ocean and mountains in California,Coast
297,image_00298.jpg,"the ocean and mountains in Big Sur, California, where the author lives.",Coast
298,image_00299.jpg,a rock in the ocean,Coast
299,image_00300.jpg,the Oregon coast with text overlay,Coast
300,image_00301.jpg,the ocean and a beach in Oregon,Coast
301,image_00302.jpg,the Oregon coast with waves crashing against the rocks.,Coast
302,image_00303.jpg,"the Oregon coast, with a sandy beach and green hills",Coast
303,image_00304.jpg,a road and ocean in Oregon,Coast
304,image_00305.jpg,"the ocean and rocks at Cannon Beach, Oregon, at sunset.",Coast
305,image_00306.jpg,a river and mountains,Coast
306,image_00307.jpg,the Oregon coast with sea stacks and mountains in the background,Coast
307,image_00308.jpg,"a waterfall and a bridge over a river, surrounded by green trees and rocks.",Coast
308,image_00309.jpg,a sea stack and trees at sunset,Coast
309,image_00310.jpg,the ocean and red rocks,Coast
310,image_00311.jpg,the Oregon coast with large rocks and a sandy beach.,Coast
311,image_00312.jpg,sea stacks and a river at sunset,Coast
312,image_00313.jpg,Haystack Rock and the ocean at sunset.,Coast
313,image_00314.jpg,the ocean and a rocky shore in Oregon,Coast
314,image_00315.jpg,the ocean and the beach in Oregon,Coast
315,image_00316.jpg,the ocean and beach in New Zealand,Coast
316,image_00317.jpg,the Oregon coast with waves crashing on the rocks and a blue sky,Coast
317,image_00318.jpg,a rock formation and a body of water at sunset,Coast
318,image_00319.jpg,the Oregon coast from above,Coast
319,image_00320.jpg,the Oregon coast with mountains in the background,Coast
320,image_00321.jpg,"the Oregon coast, where the best RV parks are located",Coast
321,image_00322.jpg,a beach and rock formations at sunset,Coast
322,image_00323.jpg,the ocean and rocks at the coast of New Zealand,Coast
323,image_00324.jpg,a sea cave and the ocean,Coast
324,image_00325.jpg,the Oregon coast with a bridge and a rock in the foreground,Coast
325,image_00326.jpg,"the Oregon coast, with waves crashing on the shore and a forest of trees in the background",Coast
326,image_00327.jpg,a road and the ocean in Oregon,Coast
327,image_00328.jpg,the Oregon coast with trees in the foreground,Coast
328,image_00329.jpg,the ocean and rock formations in Oregon,Coast
329,image_00330.jpg,the Oregon coast with a storm brewing in the background,Coast
330,image_00331.jpg,a beach and ocean in Oregon,Coast
331,image_00332.jpg,the Oregon coast from a tree,Coast
332,image_00333.jpg,a person standing on a rock in the ocean,Coast
333,image_00334.jpg,a small island in the ocean,Coast
334,image_00335.jpg,the ocean and a beach in Oregon,Coast
335,image_00336.jpg,a rock formation and a sunset in the Pacific Ocean,Coast
336,image_00337.jpg,a person in a yellow jacket standing on a rocky cliff overlooking the ocean.,Coast
337,image_00338.jpg,a road and ocean,Coast
338,image_00339.jpg,a rocky beach and a small cove with a cliff in the background,Coast
339,image_00340.jpg,a beach in Oregon,Coast
340,image_00341.jpg,Haystack Rock and the beach at sunset.,Coast
341,image_00342.jpg,"a tree and the ocean in Big Sur, California.",Coast
342,image_00343.jpg,the Oregon coast with large rocks and mountains in the background,Coast
343,image_00344.jpg,the rocky coast of Oregon,Coast
344,image_00345.jpg,a sunset and sea stacks on the beach,Coast
345,image_00346.jpg,Haystack Rock and the ocean at sunset.,Coast
346,image_00347.jpg,Haystack Rock and people on the beach at sunset.,Coast
347,image_00348.jpg,the ocean and mountains in Washington,Coast
348,image_00349.jpg,a sandy beach and large rocks in Olympic National Park.,Coast
349,image_00350.jpg,a beach and the sea with a few islands in the background,Coast
350,image_00351.jpg,the ocean and cliffs in California,Coast
351,image_00352.jpg,a rocky coastline and a river,Coast
352,image_00353.jpg,the ocean and rocks at sunset,Coast
353,image_00354.jpg,a couple sitting on chairs around a campfire on the beach at sunset.,Coast
354,image_00355.jpg,a beach in Oregon,Coast
355,image_00356.jpg,a beach in Oregon,Coast
356,image_00357.jpg,a rocky beach and ocean,Coast
357,image_00358.jpg,a forest and mountains with a cloudy sky,Coast
358,image_00359.jpg,a hiker walking along a trail on the Oregon Coast.,Coast
359,image_00360.jpg,a road and ocean in Oregon,Coast
360,image_00361.jpg,the ocean and cliffs in California,Coast
361,image_00362.jpg,"the ocean and rocks in Bandon, Oregon",Coast
362,image_00363.jpg,a small island with a tree growing on it,Coast
363,image_00364.jpg,the Oregon coast with a blue sky and white clouds,Coast
364,image_00365.jpg,"the beach at Bandon, Oregon with large rocks and a blue sky",Coast
365,image_00366.jpg,a photographer taking a picture of sea stacks at sunset,Coast
366,image_00367.jpg,"the Oregon coast, with waves crashing on the rocks and trees in the background",Coast
367,image_00368.jpg,a beach in Oregon,Coast
368,image_00369.jpg,Haystack Rock and the ocean with a blue sky and white clouds,Coast
369,image_00370.jpg,"the Oregon coast, with a sandy beach and a forest in the foreground",Coast
370,image_00371.jpg,a bridge and trees in the background,Coast
371,image_00372.jpg,"a large, gray, and lumpy object washed up on a beach.",Coast
372,image_00373.jpg,a sunset and a rock in the ocean,Coast
373,image_00374.jpg,a lighthouse and the ocean at sunset,Coast
374,image_00375.jpg,the rocky cliffs at the Oregon Coast,Coast
375,image_00376.jpg,a grassy beach and a blue sky with the sun shining through the clouds,Coast
376,image_00377.jpg,a yellow car driving down a winding road next to the ocean.,Coast
377,image_00378.jpg,the ocean and a rock in Oregon,Coast
378,image_00379.jpg,a lighthouse on the coast of Oregon,Coast
379,image_00380.jpg,the Oregon coast with a cloudy sky,Coast
380,image_00381.jpg,the Oregon coast with a title that reads,Coast
381,image_00382.jpg,a beach in Oregon at sunset,Coast
382,image_00383.jpg,the Oregon Coastline with text overlay planning your Oregon Coastlines road trip for fall,Coast
383,image_00384.jpg,"a woman kneeling on a beach, looking at a fossil.",Coast
384,image_00385.jpg,a lighthouse on a cliff overlooking the ocean,Coast
385,image_00386.jpg,Haystack Rock and the reflection of the sunset,Coast
386,image_00387.jpg,a beautiful beach in Oregon,Coast
387,image_00388.jpg,the ocean and rocky coastline in California,Coast
388,image_00389.jpg,the ocean and a beach from a cliff,Coast
389,image_00390.jpg,three people running on a trail with the ocean in the background.,Coast
390,image_00391.jpg,a person standing on a cliff with their arms raised in front of the ocean and a pink sky,Coast
391,image_00392.jpg,a person standing on a cliff looking out over the ocean.,Coast
392,image_00393.jpg,Haystack Rock and the beach in the foreground,Coast
393,image_00394.jpg,a tent and people on a beach with large rocks and waves crashing in the background.,Coast
394,image_00395.jpg,a rock formation in the ocean,Coast
395,image_00396.jpg,Haystack Rock and the ocean in the background,Coast
396,image_00397.jpg,a beach in Oregon,Coast
397,image_00398.jpg,a couple standing on a wooden fence looking out at a large rock and the ocean.,Coast
398,image_00399.jpg,a river and a rock arch with text overlay reading,Coast
399,image_00400.jpg,"the Oregon coast, with a blue sky and a sandy beach",Coast
400,image_00401.jpg,a beach and ocean at sunset,Coast
401,image_00402.jpg,the ocean and rock formations in Oregon,Coast
402,image_00403.jpg,Haystack Rock and the ocean at sunset.,Coast
403,image_00404.jpg,trees and rocks on the Oregon Coast.,Coast
404,image_00405.jpg,the beach and ocean in Oregon,Coast
405,image_00406.jpg,a person standing on a cliff overlooking the ocean.,Coast
406,image_00407.jpg,the Oregon coast with wildflowers in the foreground.,Coast
407,image_00408.jpg,a man walking on a beach with the words Hiking the Oregon Coast FitFitness,Coast
408,image_00409.jpg,the Oregon coast with waves crashing on rocks and a grassy hill in the foreground,Coast
409,image_00410.jpg,"the ocean and the rocky shore at Cape Arago State Park, one of the best Oregon state parks",Coast
410,image_00411.jpg,"the beach at Bandon, Oregon, with large rocks and a sandy beach",Coast
411,image_00412.jpg,the Oregon coast with large rocks and a sandy beach,Coast
412,image_00413.jpg,the ocean and a grassy hill in the foreground,Coast
413,image_00414.jpg,"the beach and sea stacks in Bandon, Oregon",Coast
414,image_00415.jpg,a beautiful sunset over the sea,Coast
415,image_00416.jpg,a family hugging on the beach at sunset.,Coast
416,image_00417.jpg,a road and the ocean,Coast
417,image_00418.jpg,the Oregon coast with trees in the foreground,Coast
418,image_00419.jpg,"the beach at Bandon, Oregon, with the ocean and a large rock in the background",Coast
419,image_00420.jpg,trees growing on a rock in the ocean,Coast
420,image_00421.jpg,a river and a mountain under a starry sky,Coast
421,image_00422.jpg,the Oregon Coast with a blue sky and white waves,Coast
422,image_00423.jpg,"a pink sunset over the ocean, with a rock formation and trees in the foreground.",Coast
423,image_00424.jpg,"the Oregon coast, with a blue sky and a green forest",Coast
424,image_00425.jpg,the ocean and a beach in Oregon,Coast
425,image_00426.jpg,a large rock in the ocean with the sun setting in the background.,Coast
426,image_00427.jpg,a sunset over the ocean with a large rock formation in the background.,Coast
427,image_00428.jpg,two women looking out over the ocean at Cape Kiwanda.,Coast
428,image_00429.jpg,the Oregon coast with the words OCLI in the sky,Coast
429,image_00430.jpg,a beach with a few people standing on it.,Coast
430,image_00431.jpg,the Oregon Coast with a road and ocean,Coast
431,image_00432.jpg,a couple standing on a path looking at the ocean and a large rock in the background.,Coast
432,image_00433.jpg,"the Oregon coast, with trees and rocks in the foreground and the ocean in the background.",Coast
433,image_00434.jpg,a rock formation and a beach with a large rock arch in the background,Coast
434,image_00435.jpg,"the ocean and rocky shoreline at Cape Arago State Park, one of the best beaches in Washington state",Coast
435,image_00436.jpg,a deck overlooking the beach at the Ocean House,Coast
436,image_00437.jpg,the ocean and rocky coast in Oregon,Coast
437,image_00438.jpg,Haystack Rock and the beach with people walking on the sand,Coast
438,image_00439.jpg,a sunset and a rock in the ocean,Coast
439,image_00440.jpg,a beach with large rocks and trees.,Coast
440,image_00441.jpg,a large rock formation and a waterfall on the Oregon Coast.,Coast
441,image_00442.jpg,the ocean and mountains in Oregon,Coast
442,image_00443.jpg,the Oregon coast with a green hill and the ocean in the background,Coast
443,image_00444.jpg,a rock formation on a beach at sunset,Coast
444,image_00445.jpg,"the cover of the Oregon Travel Guide, showing a sunset and a rock in the water",Coast
445,image_00446.jpg,a wooden staircase leading down to a beach,Coast
446,image_00447.jpg,a lighthouse on a hill,Coast
447,image_00448.jpg,a beach and forest in the background,Coast
448,image_00449.jpg,"people walking on the beach at low tide at Bandon, Oregon",Coast
449,image_00450.jpg,the Milky Way and a rock formation on a beach,Coast
450,image_00451.jpg,two people hiking on a beach with sea stacks in the background.,Coast
451,image_00452.jpg,a lighthouse on the coast,Coast
452,image_00453.jpg,"the Oregon coast, where the new study was conducted.",Coast
453,image_00454.jpg,a dead gray whale washed up on a beach.,Coast
